Gene,Start,End,Strand
3'ETS-leuZ,1991748,1991814,-
C0293,1196711,1196782,+
aaaD,581354,581662,+
aaaE,1204401,1205537,+
aaeA,3388194,3389126,-
aaeB,3386221,3388188,-
aaeR,3389520,3390449,+
aaeX,3389134,3389337,-
aas,2973855,2976014,-
aat,926728,927432,-
abgA,1403255,1404565,-
abgB,1401810,1403255,-
abgR,1404741,1405649,+
abgT,1400247,1401773,-
abpA,2763537,2765153,-
abpB,2761351,2763540,-
abrB,746723,747769,-
accA,208621,209580,+
accB,3405436,3405906,+
accC,3405917,3407266,+
accD,2433012,2433926,-
aceA,4217109,4218413,+
aceB,4215478,4217079,+
aceE,123017,125680,+
aceF,125695,127587,+
aceK,4218596,4220332,+
aceK-int,4218879,4218963,+
ackA,2413470,2414672,+
acnA,1335831,1338506,+
acnB,131615,134212,+
acpH,424337,424918,-
acpP,1151615,1151851,+
acpS,2700618,2700998,-
acpT,3612969,3613556,+
acrA,484426,485619,-
acrB,481254,484403,-
acrD,2587595,2590708,+
acrE,3413864,3415021,+
acrF,3415033,3418137,+
acrR,485761,486408,+
acrZ,794773,794922,+
acs,4285413,4287371,-
actP,4283253,4284902,-
actS,2999136,2999891,-
ada,2309341,2310405,-
add,1702233,1703234,+
adeD,3843964,3845730,+
adeP,3895272,3896609,-
adeQ,3842455,3843789,-
adhE,1295446,1298121,-
adhP,1552828,1553838,-
adiA,4338254,4340521,-
adiC,4335694,4337031,-
adiY,4337168,4337929,-
adk,497175,497819,+
aegA,2583546,2585525,-
aer,3217556,3219076,-
aes,499014,499973,-
afuB,278814,279162,-
afuC,277756,278802,-
agaA,3281122,3281625,+
agaB,3284170,3284646,+
agaC,3284685,3285488,+
agaD,3285478,3286269,+
agaI,3286270,3287025,+
agaR,3277856,3278665,-
agaS,3281976,3283130,+
agaV,3280217,3280690,+
agaW,3280701,3281102,+
agp,1065585,1066826,+
agrA,3648063,3648144,+
agrB,3648294,3648375,+
ahpC,638945,639508,+
ahpF,639753,641318,+
ahr,4495190,4496209,-
aidB,4414275,4415900,+
ais,2365018,2365620,-
alaA,2407561,2408778,+
alaC,2497057,2498295,-
alaE,2799164,2799613,+
alaS,2819381,2822011,-
alaT,4037260,4037335,+
alaU,3426958,3427033,-
alaV,225500,225575,+
alaW,2518156,2518231,-
alaX,2518041,2518116,-
aldA,1488232,1489671,+
aldB,3754973,3756511,-
alkA,2146692,2147540,-
alkB,2308691,2309341,-
allA,532451,532933,+
allB,539147,540508,+
allC,544057,545292,-
allD,545314,546363,-
allE,543261,544046,-
allR,533011,533826,+
allS,531295,532221,-
allZ,533629,533863,+
alpA,2758644,2758856,+
alr,4265782,4266861,+
alsA,4309448,4310980,-
alsB,4311107,4312042,-
alsC,4308489,4309469,-
alsE,4307783,4308478,-
alsK,4306870,4307799,-
alsR,4312101,4312991,-
alx,3238580,3239545,+
amiA,2552352,2553221,+
amiB,4396065,4397402,+
amiC,2947757,2949010,-
amiD,904913,905743,+
amn,2055061,2056515,+
ampC,4377811,4378944,-
ampD,118733,119284,+
ampE,119281,120135,+
ampG,452070,453545,-
ampH,395130,396287,-
amtB,472966,474252,+
amyA,2006156,2007643,+
anmK,1718493,1719602,-
ansA,1850860,1851876,+
ansB,3099682,3100728,-
ansP,1524481,1525980,-
apaG,51229,51606,-
apaH,50380,51222,-
aphA,4269414,4270127,+
appA,1040617,1041915,+
appB,1039296,1040432,+
appC,1037740,1039284,+
appX,1040445,1040537,+
appY,583681,584430,+
apt,491412,491963,+
aqpZ,915352,916047,-
araA,66835,68337,-
araB,68348,70048,-
araC,70387,71265,+
araD,65855,66550,-
araE,2980764,2982182,-
araF,1985139,1986128,-
araG,1983555,1985069,-
araH,1982554,1983540,-
araJ,411297,412481,-
arcA,4639590,4640306,-
arcB,3350689,3353025,-
arcZ,3350577,3350697,+
arfA,3438431,3438649,-
arfB,214833,215255,+
argA,2949242,2950573,+
argB,4156013,4156789,+
argC,4155001,4156005,+
argD,3488960,3490180,-
argE,4153696,4154847,-
argF,289301,290305,-
argG,3318637,3319980,+
argH,4156850,4158223,+
argI,4477307,4478311,-
argK,3062987,3063982,+
argL,290275,290370,-
argO,3068173,3068808,-
argP,3059753,3060646,+
argQ,2817784,2817860,-
